# Multipole Expansion Model for Optical Coupling Strength
# 
# Parameters:
# a = 300 nm (Major axis)
# b = 180 nm (Minor axis)
# lambda = 1064 nm (Wavelength)
# V = 0.04 ×10⁻¹⁸ m³ (Volume)
# rho = 3500 kg/m³ (Density)
# I = 3.49e-30 kg·m² (Moment of inertia)
# L1 = 0.210 (Depolarization factor, major axis)
# L2 = 0.395 (Depolarization factor, minor axis)
# epsilon_r = 5.7 (Relative permittivity)
# C1 = 0.033 (Multipole expansion coefficient, 1st order)
# C2 = 0.012 (Multipole expansion coefficient, 2nd order)
#
# Columns:
# R_lambda: Distance between particles in units of wavelength (dimensionless)
# g_*mW_kHz: Coupling strength at different laser powers (in kHz)
#
# Note: Data generated for Fig. 1 in manuscript
R_lambda,g_600mW_kHz,g_800mW_kHz,g_1000mW_kHz
0.937999999999996,109.19022341289747,126.08200976062346,140.96397228227303
0.9399999999999958,109.24842483914139,126.14921497884175,141.03911000046247
0.941999999999996,109.29022410275476,126.19748061103994,141.0930726177486
0.9439999999999961,109.31567597081495,126.22686989679181,141.12593083812428
0.9459999999999958,109.32483720276095,126.23744837625209,141.13775793771015
0.9479999999999957,109.31776653825031,126.22928387613494,141.12862974907802
0.9499999999999958,109.29452468478168,126.20244649542178,141.09862464527166
0.951999999999996,109.25517430508337,126.15700859079872,141.04782352352552
0.9539999999999959,109.19978000427142,126.093044761828,140.97630978868565
0.9559999999999957,109.12840831677804,126.01063183585435,140.8841693363348
0.9579999999999957,109.0411276930535,125.90984885264955,140.7714905356242
0.9599999999999959,108.93800848604303,125.79077704879732,140.63836421181568
0.9619999999999957,108.81912293744132,125.65349984182141,140.48488362853595
0.9639999999999956,108.68454516372604,125.49810281405856,140.31114446974632
0.9659999999999956,108.53435114197366,125.32467369627969,140.11724482143063
0.9679999999999958,108.36861869545885,125.13330235106218,139.90328515300467
0.9699999999999956,108.1874274790407,124.92408075591447,139.6693682984491
0.9719999999999955,107.99085896433655,124.69710298615723,139.41559943716982
0.9739999999999956,107.77899642468772,124.45246519756235,139.14208607458812
0.9759999999999956,107.5519249199178,124.19026560875386,138.84893802246398
0.9779999999999955,107.30973128088634,123.91060448337224,138.53626737895533
0.9799999999999954,107.0525040938414,123.6135841120057,138.2041885084164
0.9819999999999955,106.78033368457116,123.29930879389042,137.8528180209383
0.9839999999999955,106.49331210235924,122.96788481838384,137.48227475163532
0.9859999999999954,106.19153310374483,122.61942044621227,137.09267973967917
0.9879999999999953,105.87509213609074,122.25402589049685,136.68415620708515
0.9899999999999954,105.54408632096127,121.87181329756015,136.2568295372537
0.9919999999999956,105.19861443731294,121.47289672751656,135.81082725326942
